Роль,Прізвище,Примітка,Аркуш
Духовные. Приходский священник,Левицкий,,139
заштатный дьячек,Тарногродцкий,,139
заштатный пономар,Чернятиньский,,139
Поселяне,Паламарчук,,139
,Волошын,,140
,Геваник?,,140
,Трепета?,,140
,Пассиковский,,140
,Давидюк,,140
,Козачук,,140
,Швец,,140
,Мудрак,,140
,Любчик,,140
,Мотрук,,140
,Полиовик,,140
,Удовиченко,,141
,Паламарчук,,141
,Лановый,,141
,Бабий,,141
,Удовиченко,,141
,Бабий,,141
,Тростянецкий,,141
,Бабий,,141
,Паламарчук,,141
,Стасек,,141
,Кушнир,,141
,Буга,,141
,Бедунтар?,,141
,Гирник,,141
,Удовиченко,,141
,Лукиянчук,,142
,Марцинючка,,142
,Кравец,,142
,Марценюк,,142
,Удовыченко,,142
,Удовиченко,,142
,Запастный,,142
,Коваль,,142
,Густый,,142
,Лукиянчук,,142
,Климчишин?,,142
,Бабий,,142
,Мотрук?,,142
,Старчук?,,142
,Марценюк,,142
,Лысий,,142
,Лысый,,142
,Паламарчук,,142
,Симбай,,143
,Псонина?,,143
,Чабан,,143
,Волоский,,143
,Побережник,,143
,Паламар,,143
,Выхристюк,,143
,Кравец,,143
,Паламарчук,,143
,Козачук,,143
,Шуляр,,143
,Марущак,,143
,Приймак,,143
,Ящук,,143
,Выхристюк,,143
,Паламарчук,,143
,Гопацюк,,143
,Оприсняк,,143
,Горобец,,144
,Удовиченко,,144
,Буга,,144
,Бабий,,144
,Любчик,,144
,Табачнюк,,144
,Еваник,,144
,Шмаховый?,,144
,Сторож,,144
,Гнатюк,,144
,Кобляк,,144
,Парцхак?,,144
,Пихур,,144
,Гуменный,,144
,Мелник?,,145
,Мелник,,145
Приселка Еленовки,Паламарчук,,145
,Бойчиха,,145
,Пьекный,,145
,Волошин,,145
,Лысюк?,,145
,Антонюк,,145
,Удовиченко,,145
,Полиовик,,145
,Удовиченко,,145
,Костончук,,146
,Кушнир,,146
,Шиндлюк,,146
,Удовиченко,,146
,Полиовик,,146
,Худик,,146
,Костанчук,,146
,Лысюк,,146
,Паламарчук,,146
,Скрипник,,146
,Бойко,,146
,Скрипник,,146
,Бойко?,,146
