№,Прізвище,Ім'я,,Примітка,Сторінка
1,Кутовой,,,,502
2,Стодильный,,,,502
3,Поливяный,,,,502
4,Поливяный,,,,502
5,Третьяк,,,,503
6,Искра,,,,503
7,Токарь,,,,504
8,Лисовол,,,,504
9,Мокрина,,,,504
10,Голубец,,,,504
11,Голубец,,,,505
12,Голубец,,,,505
13,Голубец,,,,506
14,Поливяный,,,,506
15,Поливяный,,,,507
16,Копыл,,,,507
17,Бабак,,,,508
18,Мантинченко,,,,508
19,Ковтуненко,,,,508
20,Паталах,,,,508
21,Гноевой,,,,509
22,Гноевой,,,,509
23,Москалец,,,,509
24,Ковтун,,,,510
25,Тупица,,,,510
26,Чуприна,,,,510
27,Осипенко,,,,511
28,Касич,,,,511
29,Яременко,,,,512
30,Голубец,,,,512
31,Бабак,,,,513
32,Бабак,,,,513
33,Бабак,,,,513
34,Грушовый,,,,514
35,Дорошенко,,,,515
36,Москалец,,,,515
37,Бойко,,,,516
38,Овдеенко,,,,516
39,Токарь,,,,517
40,Токарь,,,,518
41,Салмаш,,,,518
42,Задой,,,,518
43,Токарь,,,,518
44,Лавровский,,,,519
45,Андрушко,,,,520
46,Гноевенко,,,,520
47,Прокопенко,,,,520
48,Ковтуненко,,,,520
49,Артеменко,,,,521
50,Вошенко,,,,521
51,Добровольский,,,,522
52,Кондратенко,,,,522
53,Бабенко,,,,522
54,Дзюнзя,,,,522
55,Белецкий,,,,523
56,Вдовиченко,,,,523
57,Прокопенко,,,,523
58,Искра,,,,524
59,Самойленко,,,,524
1,Матинченко,,,,529
