Прізвище,Релігія,Примітка
Авраменко,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Аляпович,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Андрущенко,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Бабенко,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Бабушка,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Бабчик,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Бабчук,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Бавольський,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Багнюк,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Багрійчук,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Базюк,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Басок,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Безпалий,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Бєлінський,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Бистровський,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Биченко,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Білан,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Білима,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Блиндар,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Блюма,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Бойко,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Бондар,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Бондаренко,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Боржковський,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Бродецький,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Бродовенко,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Бугайов,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Бузинович,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Бурковецький,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Валашенко,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Вдовиченко,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Винник,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Вишньовський,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Вівчаренко,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Власенко,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Вовкотруб,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
Вознесенко,,Селянське поселення володіння гр.Шувалова та садиби при м.Тальном
