№,Прізвище,Ім'я,,Примітка,Сторінка
21,Ткач,,,,802
53,Бойко,Роман Гавриилов,,,818
62,Бойко,Прокоп,,,821-822
76,Ткач,,,,829
94,Ткач,,,,842
105,Федорченко,,,,843
134,Бондарь,,,,851
141,Бойко,Григорий Прокопов,,,852
