Роль,Прізвище,Примітка,Аркуш
Духовные. Села Антополя досматривающий а села Стефановки заштатный священник,Гайчевский,,91
умерший священник,Левицкий,,91
пономарь,Колаковский,,91
Дворяне,Криминский,,91
Поселяне,Резник,,92
,Козак,,92
,Резников,,92
,Коваль,,92
,Рудык,,92
,Снигур,,92
,Березивщук,,92
,Куцулам,,92
,Коцулам,,92
,Батринюк,,92
,Бобов,,92
,Боб,,92
,Зомочунюк,,93
,Гаврилючко,,93
,Шевцив,,93
,Чупринюк,,93
,Казимир,,93
,Бобов,,93
,Кукулина,,93
,Коколина,,93
,Маркитан,,93
,Лановый,,93
,Котов,,94
,Грицыха,,94
,Побережник,,94
,Бобов,,94
,Симчук?,,94
,Кукулина,,94
,Вдовиченко,,94
,Искра,,94
,Гуменный,,94
,Пилич,,94
,Камардин?,,94
,Резников,,94
,Пилипиха,,94
,Куцый,,94
,Замочульнячка,,95
,Паршко,,95
,Демыха,,95
,Копотюк,,95
,Бильман,,95
,Казимир,,95
,Козак,,95
,Коколина,,95
,Огродник,,95
,Орлов,,95
,Солий,,95
,Кухарь,,95
,Столяр,,95
,Пастух,,95
,Кирилюк,,96
,Шаповаль,,96
,Балан,,96
,Ткач,,96
,Маркитан,,96
,Батриник?,,96
,Миняйло,,96
,Бурлака,,96
,Симчук,,96
,Огродник,,96
,Мелнык,,96
,Шпик,,96
,Гонта,,96
,Коваль,,96
,Козак,,96
,Приимак,,96
,Форись,,96
,Бобов,,97
,Данылыха,,97
